,x,latent
143,0.6956521739130435,PCA 15D
144,0.75,PCA 15D
145,0.6956521739130435,PCA 15D
146,0.8,PCA 15D
147,0.23529411764705888,PCA 15D
148,0.75,PCA 15D
149,0.6956521739130435,PCA 15D
150,0.7234042553191489,PCA 15D
151,0.7234042553191489,PCA 15D
152,0.8235294117647058,PCA 15D
153,0.9285714285714286,PCA 15D
154,0.9473684210526316,PCA 15D
155,0.9655172413793104,PCA 15D
156,0.9090909090909091,PCA 15D
157,0.5365853658536586,PCA 15D
158,0.9285714285714286,PCA 15D
159,0.9285714285714286,PCA 15D
160,0.8235294117647058,PCA 15D
161,0.9090909090909091,PCA 15D
162,0.33333333333333337,PCA 15D
163,0.8235294117647058,PCA 15D
164,0.5365853658536586,PCA 15D
165,0.9090909090909091,PCA 15D
166,0.8,PCA 15D
167,0.75,PCA 15D
168,0.5365853658536586,PCA 15D
169,0.5714285714285714,PCA 15D
170,0.5,PCA 15D
171,0.6666666666666667,PCA 15D
172,0.6363636363636364,PCA 15D
173,0.5714285714285714,PCA 15D
174,0.9285714285714286,PCA 15D
175,0.9473684210526316,PCA 15D
176,0.8888888888888888,PCA 15D
177,0.9655172413793104,PCA 15D
178,0.9473684210526316,PCA 15D
179,0.9473684210526316,PCA 15D
180,0.8888888888888888,PCA 15D
181,0.9830508474576272,PCA 15D
182,0.9655172413793104,PCA 15D
183,0.9830508474576272,PCA 15D
184,0.9655172413793104,PCA 15D
185,0.9655172413793104,PCA 15D
186,0.6363636363636364,PCA 15D
187,0.9655172413793104,PCA 15D
188,0.9830508474576272,PCA 15D
189,0.9655172413793104,PCA 15D
190,0.8679245283018868,PCA 15D
191,0.9655172413793104,PCA 15D
192,0.9473684210526316,PCA 15D
193,0.9830508474576272,PCA 15D
194,0.9830508474576272,PCA 15D
195,0.9830508474576272,PCA 15D
196,0.9285714285714286,PCA 15D
197,0.9655172413793104,PCA 15D
198,0.9830508474576272,PCA 15D
199,0.9830508474576272,PCA 15D
200,0.9655172413793104,PCA 15D
201,0.9830508474576272,PCA 15D
202,0.9830508474576272,PCA 15D
203,0.9473684210526316,PCA 15D
204,0.9285714285714286,PCA 15D
205,0.6956521739130435,PCA 15D
206,0.9830508474576272,PCA 15D
207,0.9473684210526316,PCA 15D
208,0.5,PCA 15D
209,0.9473684210526316,PCA 15D
210,0.9473684210526316,PCA 15D
211,0.9830508474576272,PCA 15D
212,0.7234042553191489,PCA 15D
213,0.8235294117647058,PCA 15D
214,0.9830508474576272,PCA 15D
215,0.9285714285714286,PCA 15D
216,0.9830508474576272,PCA 15D
217,0.5714285714285714,PCA 15D
218,0.9655172413793104,PCA 15D
219,0.5,PCA 15D
220,0.7755102040816326,PCA 15D
221,0.9830508474576272,PCA 15D
222,0.9473684210526316,PCA 15D
223,0.9655172413793104,PCA 15D
224,0.9655172413793104,PCA 15D
225,0.9655172413793104,PCA 15D
226,0.9285714285714286,PCA 15D
227,0.9655172413793104,PCA 15D
228,0.9285714285714286,PCA 15D
229,0.9655172413793104,PCA 15D
230,0.9090909090909091,PCA 15D
231,0.9285714285714286,PCA 15D
232,0.75,PCA 15D
233,0.8,PCA 15D
234,0.9830508474576272,PCA 15D
235,0.9655172413793104,PCA 15D
236,0.9655172413793104,PCA 15D
237,0.9655172413793104,PCA 15D
238,0.9655172413793104,PCA 15D
239,0.9830508474576272,PCA 15D
240,0.8888888888888888,PCA 15D
241,0.9655172413793104,PCA 15D
242,0.8,PCA 15D
243,0.9655172413793104,PCA 15D
244,0.8461538461538461,PCA 15D
245,0.9473684210526316,PCA 15D
246,0.8235294117647058,PCA 15D
247,0.8679245283018868,PCA 15D
248,0.9830508474576272,PCA 15D
249,0.9473684210526316,PCA 15D
250,0.7755102040816326,PCA 15D
251,0.9830508474576272,PCA 15D
252,0.8888888888888888,PCA 15D
253,0.6956521739130435,PCA 15D
254,0.9830508474576272,PCA 15D
255,0.6046511627906976,PCA 15D
256,0.9473684210526316,PCA 15D
257,0.9655172413793104,PCA 15D
258,0.9830508474576272,PCA 15D
259,0.9473684210526316,PCA 15D
260,0.9285714285714286,PCA 15D
261,0.8888888888888888,PCA 15D
